"id","category","priority","implemented","match_count","matched_files"
"accessibility.universal_accessibility","Accessibility","critical","False","0",""
"ai.agent_orchestration","ai","high","False","0",""
"ai.autonomous_documentation","ai","high","False","0",""
"ai.autonomous_learning","ai","high","False","0",""
"ai.autonomous_monitoring","ai","high","False","0",""
"ai.autonomous_optimization","ai","high","False","0",""
"ai.autonomous_recommendations","ai","high","False","0",""
"ai.autonomous_reporting","ai","high","False","0",""
"ai.autonomous_research","ai","high","False","0",""
"ai.autonomous_scheduling","ai","high","False","0",""
"ai.multi_agent_collaboration","ai","high","False","0",""
"ai.tool_discovery","ai","high","False","0",""
"ai.workflow_automation","ai","high","False","0",""
"business.accounting","business","high","False","0",""
"business.accounting_tax","Business","medium","False","0",""
"business.analytics","business","high","False","0",""
"business.artisan_portal","business","high","False","0",""
"business.brianco","Business","critical","True","5","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-greencheck-approvals.js ; C:\Users\user\brianco-backend-clean\src\brianco-human-interaction-memory.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\brianco-typo-intelligence.js"
"business.commerce","business","high","False","0",""
"business.compliance","business","high","False","0",""
"business.contracts","business","high","False","0",""
"business.creator_intelligence","Business","high","False","0",""
"business.creator_portal","business","high","False","0",""
"business.crm","business","high","False","0",""
"business.customer_intelligence","Business","high","False","0",""
"business.customer_portal","business","high","False","0",""
"business.finance","business","high","False","0",""
"business.fulfillment","business","high","False","0",""
"business.inventory_forecasting","business","high","False","0",""
"business.investor_portal","business","high","False","0",""
"business.legal_review","Business","high","False","0",""
"business.marketing","business","high","False","0",""
"business.procurement","business","high","False","0",""
"business.product_intelligence","Business","high","False","0",""
"business.sales","business","high","False","0",""
"business.shipping","business","high","False","0",""
"business.supplier_intelligence","Business","high","False","0",""
"business.supplier_portal","business","high","False","0",""
"commerce.customs_intelligence","commerce","high","False","0",""
"commerce.fleet_intelligence","commerce","high","False","0",""
"commerce.international_trade_intelligence","commerce","high","False","0",""
"commerce.logistics_intelligence","commerce","high","False","0",""
"commerce.manufacturer_discovery","commerce","high","False","0",""
"commerce.procurement_intelligence","commerce","high","False","0",""
