"id","category","priority","installed","referenced_in_source","reference_count","source_references","missing_dependencies","dependency_status"
"accessibility.universal_accessibility","Accessibility","critical","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"ai.agent_orchestration","ai","high","True","False","0","","","PASS"
"ai.autonomous_documentation","ai","high","True","False","0","","","PASS"
"ai.autonomous_learning","ai","high","True","False","0","","","PASS"
"ai.autonomous_monitoring","ai","high","True","False","0","","","PASS"
"ai.autonomous_optimization","ai","high","True","False","0","","","PASS"
"ai.autonomous_recommendations","ai","high","True","False","0","","","PASS"
"ai.autonomous_reporting","ai","high","True","False","0","","","PASS"
"ai.autonomous_research","ai","high","True","False","0","","","PASS"
"ai.autonomous_scheduling","ai","high","True","False","0","","","PASS"
"ai.multi_agent_collaboration","ai","high","True","False","0","","","PASS"
"ai.tool_discovery","ai","high","True","False","0","","","PASS"
"ai.workflow_automation","ai","high","True","False","0","","","PASS"
"business.accounting","business","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"business.accounting_tax","Business","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","brianco","MISSING"
"business.analytics","business","high","True","True","2","C:\Users\user\brianco-backend-clean\src\brianco-human-interaction-memory.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js","","PASS"
"business.artisan_portal","business","high","True","False","0","","","PASS"
"business.brianco","Business","critical","True","True","6","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-greencheck-approvals.js ; C:\Users\user\brianco-backend-clean\src\brianco-human-interaction-memory.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\brianco-typo-intelligence.js ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; search","MISSING"
"business.commerce","business","high","True","False","0","","","PASS"
"business.compliance","business","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs","","PASS"
"business.contracts","business","high","True","False","0","","","PASS"
"business.creator_intelligence","Business","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","brianco","MISSING"
"business.creator_portal","business","high","True","False","0","","","PASS"
"business.crm","business","high","True","False","0","","","PASS"
"business.customer_intelligence","Business","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","brianco","MISSING"
"business.customer_portal","business","high","True","False","0","","","PASS"
"business.finance","business","high","True","True","2","C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"business.fulfillment","business","high","True","False","0","","","PASS"
"business.inventory_forecasting","business","high","True","False","0","","","PASS"
"business.investor_portal","business","high","True","False","0","","","PASS"
"business.legal_review","Business","high","True","True","3","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-greencheck-approvals.js ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","approval_gates","MISSING"
"business.marketing","business","high","True","False","0","","","PASS"
"business.procurement","business","high","True","False","0","","","PASS"
"business.product_intelligence","Business","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","brianco","MISSING"
"business.sales","business","high","True","False","0","","","PASS"
"business.shipping","business","high","True","True","2","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js","","PASS"
"business.supplier_intelligence","Business","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","brianco","MISSING"
"business.supplier_portal","business","high","True","False","0","","","PASS"
"commerce.customs_intelligence","commerce","high","True","False","0","","","PASS"
"commerce.fleet_intelligence","commerce","high","True","False","0","","","PASS"
"commerce.international_trade_intelligence","commerce","high","True","False","0","","","PASS"
"commerce.logistics_intelligence","commerce","high","True","False","0","","","PASS"
"commerce.manufacturer_discovery","commerce","high","True","False","0","","","PASS"
"commerce.procurement_intelligence","commerce","high","True","False","0","","","PASS"
"commerce.product_lifecycle_management","commerce","high","True","False","0","","","PASS"
"commerce.product_research","commerce","high","True","False","0","","","PASS"
"commerce.quality_assurance","commerce","high","True","False","0","","","PASS"
"commerce.supplier_discovery","commerce","high","True","False","0","","","PASS"
"commerce.vendor_intelligence","commerce","high","True","False","0","","","PASS"
"commerce.warehouse_intelligence","commerce","high","True","False","0","","","PASS"
"communication.accessible_emoji_descriptions","communication","high","True","False","0","","","PASS"
"communication.emoji_language","communication","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"communication.emoji_translation","communication","high","True","False","0","","","PASS"
"communication.gif_messaging","communication","high","True","False","0","","","PASS"
"communication.meme_messaging","communication","high","True","False","0","","","PASS"
"communication.reaction_packs","communication","high","True","False","0","","","PASS"
"communication.sticker_messaging","communication","high","True","False","0","","","PASS"
"communication.visual_reactions","communication","high","True","False","0","","","PASS"
"core.approval_gates","Core","critical","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
"core.module_registry","Core","critical","True","True","12","C:\Users\user\brianco-backend-clean\src\lumen.mjs ; C:\Users\user\brianco-backend-clean\src\modules\devices\device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\devices\firmware-awareness.mjs ; C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs ; C:\Users\user\brianco-backend-clean\src\modules\graph\knowledge-graph.mjs ; C:\Users\user\brianco-backend-clean\src\modules\learning\learning-engine.mjs ; C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","vault","MISSING"
"core.orchestrator","Core","critical","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
"core.reports","Core","high","True","True","2","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
